Name,Entity Type,Role/Authority,Managed AUM,Check Min (USD),Check Max (USD),Check Size,LinkedIn
Raul Dumitras,Private Fund of Funds,Managing Partner / GP,$50M-$200M,2000000,2000000,$2M,https://www.linkedin.com/in/rgdumitras
Reetu Gupta,Private Capital,Principal,Undisclosed,10000,25000,$10K – $25K,https://www.linkedin.com/in/guptareetu
Reinhard Martens,Private Capital,Principal,Undisclosed,20000,100000,$20K – $100K,https://www.linkedin.com/in/reinhardmartens
Revathy Sivasankaran,Private Fund of Funds,Managing Partner / GP,Undisclosed,5000,25000,$5K – $25K,https://www.linkedin.com/in/reva0
Richard Lipkin,Easton Capital,Principal,$200M-$1B,25000,250000,$25K – $250K,https://www.linkedin.com/in/richard-lipkin-9a84a
Rick Krause,Private Capital,Principal,Undisclosed,20000,200000,$20K – $200K,https://www.linkedin.com/in/rick-krause
Robin Teurlings,Single Family Office,Lead Allocator / Principal,Undisclosed,5000,100000,$5K – $100K,https://www.linkedin.com/in/robinteurlings
Rod Cherkas,Private Capital,Principal,Undisclosed,10000,200000,$10K – $200K,https://www.linkedin.com/in/rodcherkas
Roger Hagen,Private Capital,Principal,Undisclosed,35000,50000,$35K – $50K,https://www.linkedin.com/in/rogbert6
Ron Sasson,Institutional Investor,Director / Investment Officer,Undisclosed,10000,2000000,$10K – $2M,https://www.linkedin.com/in/skylernetwork-ronsasson
Rupender Singh,Single Family Office,Lead Allocator / Principal,$50M-$200M,1000000,10000000,$1M – $10M,https://www.linkedin.com/in/rupender-singh-249591bb
Ryan Baird,Single Family Office,Lead Allocator / Principal,$1B+,,,,https://www.linkedin.com/in/ryandbaird
Saim Abbasi,Private Capital,Principal,Undisclosed,50000,250000,$50K – $250K,https://www.linkedin.com/in/saimabbasi
Sandy Harrison,Institutional Investor,Director / Investment Officer,$50M-$200M,250000,5000000,$250K – $5M,https://www.linkedin.com/in/william-sandy-harrison-99b52a21
Saumya Banker,Single Family Office,Lead Allocator / Principal,Undisclosed,10000,250000,$10K – $250K,https://www.linkedin.com/in/saumyabanker
Scott Heyes,Single Family Office,Lead Allocator / Principal,Undisclosed,25000,100000,$25K – $100K,https://www.linkedin.com/in/scottheyes
Scott Needham,Single Family Office,Lead Allocator / Principal,Undisclosed,,,,https://www.linkedin.com/in/scott-needham
Sergei Balakirev,Single Family Office,Lead Allocator / Principal,Undisclosed,,,,https://www.linkedin.com/in/sergeibalakirev
Sharon Liu,Private Fund of Funds,Managing Partner / GP,$1B+,,,,https://www.linkedin.com/in/sharonshuiyin
Sheetal Bansal,Single Family Office,Lead Allocator / Principal,Undisclosed,25000,500000,$25K – $500K,https://www.linkedin.com/in/sheetalbansal
Sheyla Felix,Single Family Office,Lead Allocator / Principal,$50M-$200M,100000,1000000,$100K – $1M,https://www.linkedin.com/in/sheelix
Sid Kapur,Single Family Office,Lead Allocator / Principal,$50M-$200M,2000000,25000000,$2M – $25M,https://www.linkedin.com/in/sidkapur
Sorielle Ndjoumbi,Single Family Office,Lead Allocator / Principal,Undisclosed,,,,https://www.linkedin.com/in/sorielle-ndjoumbi
Sriram Sundararajan,Single Family Office,Lead Allocator / Principal,Undisclosed,50000,500000,$50K – $500K,https://www.linkedin.com/in/sundararajan
Stephan Bosman,Private Fund of Funds,Managing Partner / GP,Undisclosed,250000,5000000,$250K – $5M,https://www.linkedin.com/in/sjbosman
Stephanie Mathern,Single Family Office,Lead Allocator / Principal,$50M-$200M,100000,2000000,$100K – $2M,https://www.linkedin.com/in/stephanie-mathern-b4074b29
Sudhir Sathiyamoorthy,Private Capital,Principal,$50M-$200M,1000000,1000000,$1M,https://www.linkedin.com/in/sudhirsathiyan
Sumit Patel,Institutional Investor,Director / Investment Officer,$50M-$200M,10000,1000000,$10K – $1M,Linkedin.com/sumitkp
Suraj Rajwani,Single Family Office,Lead Allocator / Principal,Undisclosed,10000,10000,$10K,https://www.linkedin.com/in/surajkumarrajwani
Tal Florentin,Private Capital,Principal,Undisclosed,25000,300000,$25K – $300K,https://www.linkedin.com/in/tal-florentin-974582180
Tibor Luca,Bluecap,Lead Allocator / Principal,$200M-$1B,,,,https://www.linkedin.com/in/tiborluka
Tiffany Gonzalez,Private Capital,Principal,Undisclosed,10000,300000,$10K – $300K,https://www.linkedin.com/in/tiffanygonzalez42
Tim Santos,Private Capital,Principal,Undisclosed,,,,https://www.linkedin.com/in/internetoftim
Todd Breeden,Private Fund of Funds,Managing Partner / GP,$50M-$200M,1000000,3000000,$1M – $3M,https://www.linkedin.com/in/tpbreeden
Tor-Oskar Karlberg,Single Family Office,Lead Allocator / Principal,$50M-$200M,108000,3240000,$108K – $3.2M,https://www.linkedin.com/in/tor-oskar
Urgan Chodon,Private Fund of Funds,Managing Partner / GP,$50M-$200M,1000000,20000000,$1M – $20M,https://www.linkedin.com/in/urganchodon
Vaibhav Agrawal,Private Capital,Principal,$50M-$200M,25000,1000000,$25K – $1M,https://www.linkedin.com/in/drvaibhavagrawal
Viren Aul,Single Family Office,Lead Allocator / Principal,Undisclosed,,,,https://www.linkedin.com/in/virenaul
Viviane Mao,Private Capital,Principal,Undisclosed,10000,10000,$10K,https://www.linkedin.com/in/vivianemao
Warren Wheatley,Altvest Capital,Director / Investment Officer,$1B+,3000000,30000000,$3M – $30M,https://www.linkedin.com/in/warren-wheatley-13709644
Wen Shiau,Single Family Office,Lead Allocator / Principal,$50M-$200M,50000,5000000,$50K – $5M,https://www.linkedin.com/in/hws86
William Salter,Single Family Office,Lead Allocator / Principal,$50M-$200M,6350000,6350000,$6.3M,https://www.linkedin.com/in/williamsalter
Wilson Kosisochukwu,Private Fund of Funds,Managing Partner / GP,Undisclosed,,,,https://www.linkedin.com/in/wilson-kosisochukwu-a79775274
Yannick Kizito,Single Family Office,Lead Allocator / Principal,$50M-$200M,1000000,20000000,$1M – $20M,https://www.linkedin.com/in/yannick-kizito-217a80196
Yenvy Truong,Institutional Investor,Director / Investment Officer,$50M-$200M,,,,https://www.linkedin.com/in/yenvy-truong-93185616
Zain Hasan,Institutional Investor,Director / Investment Officer,Undisclosed,3000,1000000,$3K – $1M,https://www.linkedin.com/in/zainshasan
